title,minutes,cost,tags
Would you rather always be ten minutes late or always an hour early?,5,free,funny casual anywhere
What superpower would ruin your life fastest?,10,free,funny casual anywhere
"If you had entrance music, what would it be?",5,free,funny casual anywhere
Would you rather fight one horse-sized duck or a hundred duck-sized horses?,10,free,funny casual anywhere
What animal would be the rudest if it could talk?,5,free,funny casual anywhere
"What is the best sandwich, objectively?",10,free,eat funny casual anywhere
Would you rather never hear music again or never see a film again?,10,free,funny engaging anywhere
What would you name your boat?,5,free,funny casual anywhere
"If your pet could talk, what would it complain about first?",5,free,funny casual anywhere
What food do you refuse to share?,5,free,eat funny casual anywhere
Would you rather give up cheese or chocolate forever?,5,free,eat funny casual anywhere
What is the most useless talent you would still love to have?,5,free,funny casual anywhere
Which animal would win a general election?,10,free,funny casual anywhere
Which historical figure would be the worst roommate?,10,free,funny casual anywhere
What would you do first with an invisible day?,10,free,funny casual anywhere
Would you rather speak every language or play every instrument?,10,free,funny engaging anywhere
What tiny problem would you pass a law to fix?,10,free,funny casual anywhere
What smell should be illegal?,5,free,funny casual anywhere
What is the correct number of pillows?,5,free,funny casual anywhere
Which kitchen utensil are you?,5,free,funny casual anywhere
What would your villain origin story be?,10,free,funny casual anywhere
Would you rather visit the past or the future?,10,free,adventurous engaging anywhere
What extinct animal should come back first?,5,free,funny casual anywhere
What would you put in a time capsule purely to confuse people?,10,free,funny casual anywhere
Which fictional house would you move into tomorrow?,10,free,funny casual anywhere
What is the worst possible name for a goldfish?,5,free,funny casual anywhere
Would you rather always whisper or always shout?,5,free,funny casual anywhere
What would your job be in the apocalypse?,10,free,spooky funny casual anywhere
Which ghost would you actually want haunting you?,10,free,spooky funny casual anywhere
Would you rather spend a night in a haunted house or a week without your phone?,10,free,spooky funny casual anywhere
What is the scariest ordinary object?,5,free,spooky funny casual anywhere
"If you had to disappear and start over, what would your new name be?",10,free,adventurous funny casual anywhere
Would you rather explore the deep sea or deep space?,10,free,adventurous engaging anywhere
What world record could you break with a year of training?,10,free,funny casual anywhere
What would you do with a dragon for a weekend?,10,free,adventurous funny casual anywhere
Would you rather fly slowly or teleport once a day?,10,free,funny casual anywhere
What sport would be better with one absurd rule change?,10,free,play funny casual anywhere
What fictional food do you most wish existed?,5,free,eat funny casual anywhere
Which decade would you visit for the clothes alone?,10,free,nostalgic funny casual anywhere
What toy from your childhood deserves a comeback?,5,free,play nostalgic casual anywhere
Would you rather rewatch your whole life or preview one year of it?,10,free,nostalgic engaging anywhere
What cartoon logic do you wish applied in real life?,10,free,funny casual anywhere
What belongs in a museum of perfectly ordinary things?,10,free,funny casual anywhere
Would you rather have a rewind button or a pause button?,10,free,funny engaging anywhere
What is the most overrated invention?,10,free,funny casual anywhere
What is the most underrated invention?,10,free,funny casual anywhere
"If you opened a tiny useless shop, what would it sell?",10,free,funny casual anywhere
What would your warning label say?,5,free,funny casual anywhere
"If you could combine two animals, which two?",5,free,funny casual anywhere
Would you rather host dinner for five villains or five saints?,10,free,funny casual anywhere
What is the best word you know?,5,free,funny casual anywhere
What would the title of your autobiography be?,10,free,funny casual anywhere
Would you rather never wait in line again or never sit in traffic again?,5,free,funny casual anywhere
What food combination do you defend to the death?,5,free,eat funny casual anywhere
What would aliens find funniest about us?,10,free,funny casual anywhere
Would you rather have perfect memory or perfect sleep?,10,free,funny engaging anywhere
What is the silliest thing you sincerely believe?,10,free,funny casual anywhere
What game show would you actually win?,10,free,play funny casual anywhere
Would you rather live in a lighthouse or a treehouse?,5,free,funny casual anywhere
What tiny luxury should come standard in every home?,5,free,funny casual anywhere
