title,minutes,cost,tags,definition
Petrichor,5,free,learn casual anywhere,the smell of rain falling on dry ground
Apricity,5,free,learn casual anywhere,"the warmth of the sun, felt in winter"
Susurrus,5,free,learn casual anywhere,a soft whispering or rustling sound
Crepuscular,5,free,learn casual anywhere,"of twilight, or active in it"
Liminal,5,free,learn casual anywhere,"on a threshold, between one state and the next"
Defenestrate,5,free,learn funny casual anywhere,to throw out of a window
Borborygmus,5,free,learn funny casual anywhere,the rumble of a hungry stomach
Psithurism,5,free,learn casual anywhere,the sound of wind moving through trees
Saudade,5,free,learn nostalgic casual anywhere,longing for something absent that may never return
Ultracrepidarian,5,free,learn funny engaging anywhere,a person who opines well beyond their knowledge
Mellifluous,5,free,learn casual anywhere,"sweetly flowing, said of a voice"
Halcyon,5,free,learn nostalgic casual anywhere,"calm and golden, said of remembered days"
Lacuna,5,free,learn casual anywhere,"a gap, especially in a text or an argument"
Quotidian,5,free,learn casual anywhere,everyday; belonging to the ordinary run of things
Velleity,5,free,learn casual anywhere,a wish too faint to act on
Nepenthe,5,free,learn casual anywhere,a thing that makes you forget sorrow
Frisson,5,free,learn casual anywhere,a sudden shiver of excitement
Zugzwang,5,free,learn engaging anywhere,the spot where every possible move makes it worse
Sprezzatura,5,free,learn engaging anywhere,studied carelessness; art that hides its effort
Tsundoku,5,free,learn funny casual anywhere,buying books and letting them pile up unread
Gloaming,5,free,learn casual anywhere,twilight; the fading light after sunset
Vespertine,5,free,learn casual anywhere,"of the evening, or flowering and waking in it"
Hypnagogic,5,free,learn casual anywhere,of the drowsy borderland just before sleep
Hypnopompic,5,free,learn casual anywhere,"of the state between sleep and waking, on the waking side"
Pareidolia,5,free,learn casual anywhere,seeing faces and figures in random patterns
Apophenia,5,free,learn engaging anywhere,perceiving meaningful connections between unrelated things
Sesquipedalian,5,free,learn funny casual anywhere,given to using long words; a foot and a half long
Tenebrous,5,free,learn spooky casual anywhere,"dark, shadowy, hard to see into"
Widdershins,5,free,learn spooky casual anywhere,counterclockwise; against the course of the sun
Zeugma,5,free,learn engaging anywhere,one word yoked to two others in different senses — she broke his car and his heart
Limn,5,free,learn casual anywhere,"to depict or describe, in paint or in words"
Quiddity,5,free,learn engaging anywhere,the essence that makes a thing what it is; also a quibble
Mumpsimus,5,free,learn funny casual anywhere,"a stubborn refusal to correct a known error, or the person refusing"
Noctambulist,5,free,learn spooky casual anywhere,a sleepwalker
Obnubilate,5,free,learn casual anywhere,"to cloud over, darken, or obscure"
Interrobang,5,free,learn funny casual anywhere,the punctuation mark that is a question mark and an exclamation point at once
Floccinaucinihilipilification,5,free,learn funny challenging anywhere,the act of judging something to be worthless
Eigengrau,5,free,learn casual anywhere,the dark grey the eyes see in total darkness
Jentacular,5,free,learn funny casual anywhere,of or relating to breakfast
Grawlix,5,free,learn funny casual anywhere,the string of symbols that stands in for swearing
Callipygian,5,free,learn funny casual anywhere,having shapely buttocks
Absquatulate,5,free,learn funny casual anywhere,to leave abruptly; to make off
Cacoethes,5,free,learn engaging anywhere,"an irresistible urge, especially to do something inadvisable"
Deliquesce,5,free,learn casual anywhere,to melt away; to turn liquid by drawing moisture from the air
Erstwhile,5,free,learn casual anywhere,former; of an earlier time
Fugacious,5,free,learn casual anywhere,"fleeting, quick to pass away"
Gossamer,5,free,learn casual anywhere,fine drifting cobweb; anything impossibly light and delicate
Ineluctable,5,free,learn engaging anywhere,impossible to struggle out of; inescapable
Jactitation,5,free,learn casual anywhere,restless tossing in bed; also a false boast
Kakistocracy,5,free,learn funny engaging anywhere,government by the worst people
Logomachy,5,free,learn engaging anywhere,an argument that is really about words
Mondegreen,5,free,learn funny casual anywhere,a misheard lyric that makes its own sense
Nyctophilia,5,free,learn spooky casual anywhere,a love of night and darkness
Operose,5,free,learn casual anywhere,done with great labour; industrious
