title,minutes,cost,tags
Build something out of the flattened boxes before they go out,60,free,create play funny casual home
Make a piece of furniture out of one plank,240,frugal,create repair challenging home
Design a flag for the street you live on,45,free,create funny engaging home
Invent a board game and make somebody play it,120,free,create play friends challenging home
Take a rubbing of every interesting surface on one walk,45,free,create mindful casual outdoors
Build the highest thing you can out of what is on the table,20,free,create play funny casual anywhere
Make a scale model of your own street,180,frugal,create challenging home
Design the room you would build if money were no object,60,free,create engaging home
Make a wreath out of things you find on the ground,60,free,create mindful engaging outdoors
Cast a candle in a mould you made yourself,90,frugal,create try engaging home
Empty your inbox to nothing and keep it there a week,90,free,organize challenging home
Photograph everything you own of one particular kind,60,free,organize funny engaging home
Make a map of where everything in the kitchen lives,45,free,organize casual home
Write down every recurring payment you have,30,free,organize engaging home
Get one year of photographs down to ten,60,free,organize challenging home
Label everything in one drawer,30,free,organize casual home
Make the list of everything in this place that needs fixing,25,free,organize repair casual home
Sort the loose photographs into people,60,free,organize nostalgic engaging home
Pack a bag you could leave with in ten minutes,45,free,organize adventurous engaging home
Book the appointment you have been putting off,15,free,organize challenging home
Wash the outside of every window you can safely reach,60,free,clean engaging home
Take the bins out and then wash the bins,30,free,clean casual home
Wipe every light switch and door handle in the house,25,free,clean casual home
Clean one window until it disappears,20,free,clean mindful casual home
Wash the thing you have only ever wiped,40,free,clean engaging home
Get the limescale off the shower door for good,50,frugal,clean challenging home
Clean out the drawer nearest the kettle,25,free,clean casual home
Beat the rugs outside as though it were 1890,40,free,clean move funny engaging outdoors
Clean the oven with something long on in the background,90,free,clean listen engaging home
Wash every mug down past the tea line,25,free,clean mindful casual home
Re-glue the chair that wobbles,45,frugal,repair engaging home
Learn to darn one hole properly,45,free,repair create clothes learn engaging home
Replace the cable rather than the whole thing,40,frugal,repair learn engaging home
Sew the button back on before you next need it,15,free,repair create clothes casual home
Take the bicycle apart and put it back together,120,free,repair try challenging home
Track down the noise and put a stop to it,45,free,repair engaging home
Change every dead bulb in one go,25,frugal,repair casual home
Service the thing that has never been serviced,60,frugal,repair learn engaging home
Repair something with entirely the wrong material,45,free,repair funny try casual home
Get the squeaky floorboard to shut up,60,free,repair challenging home
Try to draw a perfect circle for ten minutes,10,free,try create visualart drawing funny casual home
Learn to solve the cube from a video,120,frugal,try learn challenging home
Eat one whole meal with your other hand,30,free,try funny casual home
Learn to sharpen a pencil with a knife,15,free,try learn casual home
Take up a sport nobody you know plays,120,costly,try play move engaging indoors newpeople friends
Learn one useful sentence in three languages,30,free,try learn casual anywhere
Cook the recipe that has always looked too hard,150,frugal,try eat challenging home
Learn to skim a stone properly,30,free,try play move casual outdoors
Order the drink you have decided you do not like,20,frugal,try eat funny casual indoors
Learn to ride with no hands,45,free,try move play challenging outdoors
Learn one magic trick with a coin,45,free,play try funny engaging home
Play darts until you can finish on a double,90,frugal,play friends engaging indoors
Run a tournament of something ridiculous,120,free,play friends funny engaging home
Finish the game you abandoned years ago,180,free,play nostalgic engaging home
Do a crossword with somebody else,45,free,play friends casual home
Throw a ball back and forth until you both get bored,30,free,play move friends casual outdoors
Beat your own record at something pointless,25,free,play funny move casual anywhere
Play table football against a stranger,45,frugal,play funny challenging indoors newpeople friends
Learn to play conkers or marbles again,30,free,play nostalgic funny casual outdoors
Teach somebody the game you loved as a child,60,free,play kindness nostalgic casual home
Walk up every set of stairs between here and there,45,free,move challenging outdoors
Spend twenty minutes on something you cannot do yet,20,free,move try challenging home
Walk somewhere before the sun is up,60,free,move mindful engaging outdoors
Cycle the whole length of one park,60,free,move engaging outdoors
Get into cold water and straight back out,30,free,move adventurous challenging outdoors
Hang from something until you have to let go,5,free,move funny challenging home
Carry the shopping home instead of driving it,45,free,move casual outdoors
Learn to move in a way you have never moved,45,free,move try dancing engaging home
Walk the whole perimeter of where you live,120,free,move engaging outdoors
Get properly out of breath once today,20,free,move challenging outdoors
Find out who lived in your house before you,90,free,learn engaging home
Learn the rules of a sport well enough to argue about them,60,free,learn watch engaging anywhere
Learn where your electricity actually comes from,45,free,learn engaging home
Read the whole manual for something you already own,45,free,learn read casual home
Learn to read a map with the phone in your pocket,60,free,learn travel engaging outdoors
Learn ten stars and then go and find them,60,free,learn watch mindful engaging outdoors
Learn what the buildings on your walk are made of,45,free,learn casual outdoors
Teach yourself the history of one single year,90,free,learn read challenging home
Learn how to tell whether a thing is well made,60,free,learn engaging indoors
Learn the difference between two things you have always confused,30,free,learn casual anywhere
Take something round to the neighbour you never speak to,30,free,kindness casual home newpeople
Write a reference for somebody who has not asked for one,40,free,kindness writing engaging anywhere
Pay for the person behind you and leave,10,frugal,kindness casual indoors
Give a proper compliment to somebody who never gets one,10,free,kindness casual anywhere
Do the washing up in somebody else’s house,25,free,kindness clean casual anywhere
Send the message you keep not sending,15,free,kindness challenging anywhere
Give an afternoon to somebody who is moving,240,free,kindness friends move challenging anywhere
Teach somebody the thing you are best at,90,free,kindness learn engaging anywhere
Leave a good review for somewhere small,15,free,kindness writing casual anywhere
Give away the thing somebody else keeps admiring,20,free,kindness casual home
Write down the advice you would give yourself at twenty,45,free,create writing nostalgic engaging anywhere
Write a hundred words a day until the week is out,20,free,create writing casual anywhere
Write the obituary of somebody you have invented,45,free,create writing funny engaging anywhere
Describe your own face in writing with no mirror,25,free,create writing funny casual anywhere
Keep a list of every good sentence you hear this week,20,free,create writing casual anywhere
Write a scene set entirely in a lift,40,free,create writing engaging anywhere
Write the instructions for a machine that does not exist,40,free,create writing funny engaging home
Write down the three stories you always tell,45,free,create writing nostalgic engaging anywhere
Write a page in the voice of somebody you cannot stand,40,free,create writing challenging anywhere
Write the last page first and then the rest,60,free,create writing challenging anywhere
Photograph every door on one street,60,free,create visualart engaging outdoors
Take a self-portrait you would actually keep,45,free,create visualart challenging home
Photograph the same person every day for a week,30,free,create visualart engaging anywhere
Photograph what is left at the end of the day,20,free,create visualart mindful casual home
Make a cyanotype on the windowsill,120,frugal,create visualart try engaging home
Photograph a whole day in twelve pictures,180,free,create visualart engaging anywhere
Frame something you made and hang it up,45,frugal,create visualart casual home
Photograph strangers’ hands with their permission,60,free,create visualart challenging outdoors newpeople
Photograph the ugliest thing near you until it looks good,45,free,create visualart funny engaging outdoors
Photograph one corner in every season and start today,20,free,create visualart mindful casual outdoors
Draw everybody on the bus,45,free,create visualart drawing engaging indoors
Draw the plant on the windowsill leaf by leaf,60,free,create visualart drawing mindful engaging home
Draw your own hand ten different ways,45,free,create visualart drawing engaging home
Draw a building from across the road,60,free,create visualart drawing challenging outdoors
Draw the inside of something you have taken apart,45,free,create visualart drawing repair engaging home
Draw one thing a day this week on the same page,30,free,create visualart drawing casual home
Draw in ink with no pencil underneath it,40,free,create visualart drawing challenging home
Draw the view from the highest window you can get to,60,free,create visualart drawing engaging indoors
