title,minutes,cost,tags,source
Write the first page of the thing you keep meaning to write,45,free,create writing challenging anywhere,seed
Write a letter by hand and actually post it,40,free,create writing kindness casual home,seed
Write down everything you remember about one particular day,40,free,create writing nostalgic engaging anywhere,seed
Sit in a café and describe a stranger in two hundred words,35,frugal,create writing engaging indoors,seed
Keep a one-line diary for the rest of the week,10,free,create writing mindful casual anywhere,seed
Write a completely serious review of a sandwich,30,free,create writing funny casual anywhere,seed
Write a poem in a form you have never used,50,free,create writing try challenging anywhere,seed
Write the best possible argument for the thing you disagree with,45,free,create writing challenging anywhere,seed
Write a scene that is nothing but dialogue,40,free,create writing engaging anywhere,seed
Write down the story your family always tells,45,free,create writing nostalgic engaging anywhere,seed
Write a letter to yourself to open in a year,30,free,create writing mindful casual home,seed
Invent a word and use it all week,15,free,create writing funny casual anywhere,seed
Write six-word stories until one of them lands,25,free,create writing funny casual anywhere,seed
Write the opening of a horror story set in your own house,40,free,create writing spooky engaging home,seed
Keep a notebook in your pocket all day and fill it,60,free,create writing engaging anywhere,seed
Write instructions for something you do without thinking,35,free,create writing funny engaging home,seed
"Draw the room you are in, badly",25,free,create visualart drawing casual mindful home,seed
"Redraw a logo you see every day, from memory",25,free,create visualart drawing funny casual home,seed
Draw the same object ten times,45,free,create visualart drawing engaging home,seed
Draw somebody without once looking at the paper,20,free,create visualart drawing funny casual anywhere,seed
Fill one whole page with nothing but circles,25,free,create visualart drawing mindful casual home,seed
"Draw your street from memory, then walk it and check",60,free,create visualart drawing engaging anywhere,seed
Draw with your other hand for half an hour,30,free,create visualart drawing funny casual home,seed
Draw a map of somewhere you have never been,45,free,create visualart drawing engaging adventurous home,seed
Sit somewhere public and sketch whatever is in front of you,45,free,create visualart drawing engaging indoors,seed
Draw a comic strip about your own week,60,free,create visualart drawing funny engaging home,seed
Copy a drawing by somebody far better than you,60,free,create visualart drawing learn engaging home,seed
Draw the floor plan of every home you have lived in,50,free,create visualart drawing nostalgic engaging home,seed
Paint something you are not allowed to be good at,40,frugal,create visualart painting casual home,seed
Paint the view out of one window,75,frugal,create visualart painting engaging home,seed
Mix one colour until it is exactly right,40,frugal,create visualart painting mindful engaging home,seed
Paint something using one colour and white,60,frugal,create visualart painting challenging try home,seed
Paint over something you had already finished,45,free,create visualart painting try engaging home,seed
Paint a portrait from a photograph on your phone,90,frugal,create visualart painting challenging home,seed
Buy the cheapest canvas there is and ruin it on purpose,40,frugal,create visualart painting funny casual home,seed
Paint something the size of a postcard and post it to somebody,45,frugal,create visualart painting kindness casual home,seed
Cast your own hand in plaster,90,frugal,create visualart sculpting engaging home,seed
Make something out of what is in the recycling,60,free,create visualart mixedmedia funny casual home,seed
Carve a stamp out of an eraser and print with it,45,free,create visualart mixedmedia engaging home,seed
Make a collage out of one magazine,45,frugal,create visualart mixedmedia casual home,seed
Model something out of clay with your eyes shut,40,frugal,create visualart sculpting funny try casual home,seed
Make a zine — eight pages out of one sheet of paper,90,free,create visualart mixedmedia writing engaging home,seed
Bind your own notebook,75,frugal,create visualart mixedmedia learn engaging home,seed
Mend a garment so that the mend shows,45,free,create clothes repair mindful engaging home,seed
Dye something you had got bored of,90,frugal,create clothes try engaging home,seed
Take a jacket in until it actually fits you,120,frugal,create clothes repair challenging home,seed
Make one thing you would otherwise have bought,120,frugal,create visualart mixedmedia challenging try home,seed
Print photographs out and put them on a wall,45,frugal,create visualart nostalgic casual anywhere,seed
Make a mask,90,frugal,create visualart sculpting spooky engaging home,seed
Sew something with no pattern,120,frugal,create clothes challenging try home,seed
Build a tiny shelf for the place that has needed one for months,120,frugal,create repair challenging home,seed
"Learn one song all the way through, including the part you skip",60,free,create music learn engaging home,seed
Make a playlist that tells a story,45,free,create music organize casual anywhere,seed
Make a mixtape for one specific person,60,free,create music kindness nostalgic engaging home,seed
Record the sound of somewhere and keep it,20,free,create music listen casual outdoors,seed
Write a song about something extremely boring,60,free,create music writing funny engaging home,seed
Sing somewhere with very good reverb,3,free,create music funny casual anywhere,seed
Learn the first four bars on an instrument you cannot play,45,free,create music try challenging home,seed
"Work out a song by ear, with no tabs",60,free,create music challenging learn home,seed
Play music with somebody else in the room,90,free,create music friends engaging anywhere,seed
Make a beat out of household objects,45,free,create music funny engaging home,seed
Sing the harmony instead of the tune,25,free,create music try engaging anywhere,seed
"Busk once, badly, for nobody",60,free,create music challenging adventurous indoors newpeople friends,seed
Write down every song you loved at fifteen,30,free,create music nostalgic casual anywhere,seed
Learn a song in a language you do not speak,60,free,create music try engaging home,seed
"Read a play out loud, all the parts, on your own",90,free,create acting funny engaging home,seed
Learn a monologue and perform it to a mirror,60,free,create acting challenging home,seed
"Do a scene with somebody, both of you terrible",60,free,create acting friends funny engaging home,seed
Record yourself telling a story and watch it back,40,free,create acting challenging home,seed
Learn to do one convincing accent,45,free,create acting try engaging home,seed
Improvise a scene with one rule neither of you can break,45,free,create acting friends funny engaging home,seed
Read a picture book out loud with full commitment,4,free,create acting funny casual home,seed
Dance to three songs with the door shut,15,free,create dancing funny move casual home,seed
Learn one dance properly from a video,60,free,create dancing learn move engaging home,seed
Go dancing somewhere you would normally leave early,180,frugal,create dancing friends move adventurous engaging indoors newpeople,seed
Dance in the kitchen while the dinner cooks,10,free,create dancing romantic funny casual home partner,seed
Learn the steps to something out of a film,60,free,create dancing nostalgic learn engaging home,seed
Move for one whole song with your eyes closed,10,free,create dancing mindful move casual home,seed
Slow dance to one song in the kitchen,10,free,create dancing romantic music casual home partner,seed
