title,minutes,cost,tags
What are you excited about at the moment?,10,free,newpeople casual anywhere
What is the story behind your name?,10,free,newpeople casual anywhere
What do you do when you are not doing what you do?,10,free,newpeople casual anywhere
"Where did you grow up, and what was it known for?",10,free,newpeople casual anywhere
What is the best thing that happened to you this week?,5,free,newpeople casual anywhere
What did you want to be when you were eight?,10,free,newpeople nostalgic casual anywhere
What are you reading or watching that is worth recommending?,10,free,newpeople casual anywhere
What is your favourite thing about where you live?,10,free,newpeople casual anywhere
What is the most interesting thing you have learned lately?,10,free,newpeople learn casual anywhere
What do people usually ask you about once they know you?,10,free,newpeople casual anywhere
What is your favourite way to waste an afternoon?,10,free,newpeople casual anywhere
What is the best meal you have had this month?,5,free,newpeople eat casual anywhere
What place have you been that surprised you most?,10,free,newpeople travel casual anywhere
What is a small thing you are unreasonably good at?,10,free,newpeople funny casual anywhere
What was your first job?,10,free,newpeople nostalgic casual anywhere
What is the best piece of advice you carry around?,10,free,newpeople engaging anywhere
What always makes you laugh?,5,free,newpeople funny casual anywhere
What would you do with a free afternoon in a strange city?,10,free,newpeople adventurous casual anywhere
What is your current small obsession?,10,free,newpeople casual anywhere
What is a question you love being asked?,10,free,newpeople engaging anywhere
What did you do last weekend that you would do again?,5,free,newpeople casual anywhere
What is your favourite family tradition?,10,free,newpeople nostalgic casual anywhere
What food could you eat every week forever?,5,free,newpeople eat casual anywhere
What is the best thing you own that cost almost nothing?,10,free,newpeople casual anywhere
What do you always pack that nobody else does?,10,free,newpeople funny casual anywhere
What is the last photo you took on purpose?,5,free,newpeople casual anywhere
What was your favourite subject at school?,10,free,newpeople nostalgic casual anywhere
What is your hometown's best-kept secret?,10,free,newpeople casual anywhere
What could you talk about for an hour with no notes?,10,free,newpeople engaging anywhere
What is the most beautiful place you have been this year?,10,free,newpeople travel casual anywhere
What hobby have you picked up as an adult?,10,free,newpeople casual anywhere
What holiday do you look forward to most?,10,free,newpeople nostalgic casual anywhere
What is a skill you are learning right now?,10,free,newpeople learn casual anywhere
What music have you had on lately?,5,free,newpeople listen casual anywhere
What is the best concert or show you have ever seen?,10,free,newpeople casual anywhere
Who is the most interesting person you know?,10,free,newpeople engaging anywhere
What is a rule you live by?,15,free,newpeople engaging anywhere
What is your idea of a perfect Sunday?,10,free,newpeople casual anywhere
What are you looking forward to this year?,10,free,newpeople casual anywhere
What is the best trip you have ever taken?,10,free,newpeople travel casual anywhere
What would you do with three months off?,10,free,newpeople adventurous casual anywhere
What animal have you met that you still think about?,10,free,newpeople funny casual anywhere
What did your grandparents cook?,10,free,newpeople eat nostalgic casual anywhere
What is the strangest coincidence that ever happened to you?,15,free,newpeople engaging anywhere
What game are you dangerously competitive at?,10,free,newpeople play funny casual anywhere
What movie can you quote too much of?,10,free,newpeople watch funny casual anywhere
What accent or language do you wish you had?,10,free,newpeople funny casual anywhere
What is the best team you have ever been part of?,10,free,newpeople engaging anywhere
What everyday tool or gadget quietly changed your life?,10,free,newpeople casual anywhere
What would surprise people about your work?,10,free,newpeople engaging anywhere
What is your favourite time of day?,5,free,newpeople mindful casual anywhere
What weather makes you happiest?,5,free,newpeople mindful casual anywhere
What is your comfort rewatch?,5,free,newpeople watch casual anywhere
What do you cook when you want to impress?,10,free,newpeople eat casual anywhere
What do you cook when you are exhausted?,5,free,newpeople eat funny casual anywhere
Where would you take a visitor first around here?,10,free,newpeople casual anywhere
What is the kindest thing anyone did for you this year?,10,free,newpeople kindness engaging anywhere
What are you curious about lately?,10,free,newpeople learn casual anywhere
What compliment have you remembered for years?,10,free,newpeople engaging anywhere
What question should I have asked you?,10,free,newpeople engaging anywhere
