title,minutes,cost,tags
What are you avoiding right now?,10,free,solo mindful engaging anywhere
What would make today feel well spent?,5,free,solo mindful casual anywhere
What are you doing out of habit that you would never choose fresh?,15,free,solo mindful engaging anywhere
What do you need less of?,10,free,solo mindful engaging anywhere
What is taking more energy than it gives back?,15,free,solo mindful engaging anywhere
When did you last feel completely unhurried?,10,free,solo mindful casual anywhere
What would you stop doing if nobody would notice?,10,free,solo mindful engaging anywhere
What are you waiting for permission to do?,15,free,solo mindful engaging anywhere
Which of your routines actually serves you?,10,free,solo mindful engaging anywhere
What does rest look like for you when it works?,10,free,solo mindful casual anywhere
What is the smallest change that would make your mornings better?,10,free,solo mindful casual anywhere
What do you keep saying you have no time for?,10,free,solo mindful engaging anywhere
What would you do with one extra hour a day?,10,free,solo casual anywhere
Where does your money quietly go?,15,free,solo engaging anywhere
What do you own that you would buy again today?,10,free,solo casual anywhere
What could you clear out of your home without missing it?,10,free,solo casual anywhere
What is the one thing on your list you keep moving to tomorrow?,10,free,solo mindful engaging anywhere
What would this week look like if it were easy?,15,free,solo mindful engaging anywhere
What are you tolerating that you could fix in an hour?,10,free,solo engaging anywhere
What is your body trying to tell you lately?,15,free,solo mindful engaging anywhere
What are you pretending not to know?,30,free,solo mindful challenging anywhere
What would you attempt if you knew it would take ten years?,20,free,solo adventurous engaging anywhere
What compliment do you have trouble accepting?,15,free,solo mindful engaging anywhere
What are you better at than you give yourself credit for?,15,free,solo mindful engaging anywhere
Which of your beliefs would most surprise you from ten years ago?,20,free,solo engaging anywhere
What opinion have you changed your mind about lately?,15,free,solo engaging anywhere
What do you want to be true of you at eighty?,30,free,solo mindful challenging anywhere
"What are you practicing, whether you mean to or not?",20,free,solo mindful engaging anywhere
What would you do differently if you respected your own time?,20,free,solo mindful engaging anywhere
Whose approval are you still working for?,30,free,solo mindful challenging anywhere
What part of your life is on autopilot?,15,free,solo mindful engaging anywhere
What would you tell a friend who was in your exact situation?,20,free,solo mindful engaging anywhere
What is the kindest true thing you can say about yourself?,15,free,solo mindful engaging anywhere
What are you afraid people will find out about you?,30,free,solo mindful challenging anywhere
When are you most yourself?,15,free,solo mindful engaging anywhere
What role do you play in groups that you never chose?,20,free,solo mindful engaging anywhere
What would you start if failure cost nothing?,15,free,solo adventurous engaging anywhere
How much would actually be enough?,30,free,solo mindful challenging anywhere
What is the difference between the person you are and the person you present?,30,free,solo mindful challenging anywhere
"Whose life do you envy, and for what?",20,free,solo mindful challenging anywhere
What did you love doing at ten that you never do now?,15,free,solo nostalgic engaging anywhere
What smell takes you straight back to childhood?,5,free,solo nostalgic casual anywhere
Which teacher changed how you think?,10,free,solo nostalgic casual anywhere
What did you worry about five years ago that came to nothing?,10,free,solo nostalgic engaging anywhere
What is your earliest memory you trust?,15,free,solo nostalgic engaging anywhere
Which family story do you hope gets retold forever?,15,free,solo nostalgic casual anywhere
What did your grandparents do that nobody does any more?,15,free,solo nostalgic engaging anywhere
Which friendship do you miss?,15,free,solo nostalgic engaging anywhere
What was the best meal of your life so far?,10,free,solo nostalgic casual anywhere
Which version of you would be proudest of who you are now?,20,free,solo nostalgic engaging anywhere
What was your first real act of independence?,15,free,solo nostalgic engaging anywhere
What tradition would you bring back?,10,free,solo nostalgic casual anywhere
What did you outgrow without noticing?,15,free,solo nostalgic engaging anywhere
Which place from your past would you most like to walk through again?,15,free,solo nostalgic engaging anywhere
What song puts you back in a particular year?,10,free,solo nostalgic casual anywhere
What are you most afraid of losing?,30,free,solo mindful challenging anywhere
What would you do first if you stopped being afraid?,20,free,solo adventurous challenging anywhere
Which of your fears have you inherited?,30,free,solo mindful challenging anywhere
What is the worst that would actually happen?,15,free,solo mindful engaging anywhere
What do you do when nobody is watching?,15,free,solo mindful engaging anywhere
Where would you live if work did not decide?,15,free,solo adventurous engaging anywhere
What trip do you keep postponing?,10,free,solo adventurous casual anywhere
What skill would change your life most if you had it?,15,free,solo engaging anywhere
What would a braver version of you do this month?,15,free,solo adventurous engaging anywhere
What is on your list to do before you die that you could do this year?,20,free,solo adventurous engaging anywhere
"If you could apprentice yourself to anyone for a year, who?",15,free,solo adventurous engaging anywhere
What is the most alive you have felt in the last year?,15,free,solo mindful engaging anywhere
What adventure would you regret never taking?,20,free,solo adventurous engaging anywhere
"Who gets your best self, and who gets the leftovers?",30,free,solo mindful challenging anywhere
Who would you call at three in the morning?,10,free,solo casual anywhere
Who do you know that you would like to know better?,10,free,solo casual anywhere
What do your closest people need from you right now?,20,free,solo kindness mindful engaging anywhere
What apology do you owe?,30,free,solo mindful challenging anywhere
What apology are you still waiting for?,30,free,solo mindful challenging anywhere
Who taught you what love looks like?,20,free,solo nostalgic engaging anywhere
What do you find hardest to say out loud?,30,free,solo mindful challenging anywhere
Who believed in you before you did?,15,free,solo nostalgic engaging anywhere
What work would you do for free?,15,free,solo engaging anywhere
What did you want to be at eight years old?,10,free,solo nostalgic casual anywhere
What part of your work would you keep if you never needed money?,20,free,solo engaging anywhere
What are you building that will outlast you?,30,free,solo mindful challenging anywhere
What would you make if you had a free month and no audience?,20,free,solo create engaging anywhere
What does your ideal ordinary Tuesday look like?,15,free,solo mindful casual anywhere
What have you mastered?,15,free,solo engaging anywhere
What is the next thing you want to learn properly?,10,free,solo learn casual anywhere
What did you fail at that you are glad you tried?,15,free,solo engaging anywhere
What lesson do you keep having to learn again?,20,free,solo mindful challenging anywhere
What are you taking for granted right now?,15,free,solo mindful engaging anywhere
What is the luckiest thing that ever happened to you?,10,free,solo nostalgic casual anywhere
What do you have today that you once wished for?,10,free,solo mindful casual anywhere
Which of your values would you defend at real cost?,30,free,solo mindful challenging anywhere
What rule do you live by that you never say out loud?,20,free,solo mindful engaging anywhere
What would you never do for money?,15,free,solo engaging anywhere
What is worth being late for?,10,free,solo mindful casual anywhere
What do you hope people say about you when you leave the room?,20,free,solo mindful engaging anywhere
What is your definition of a life well lived?,30,free,solo mindful challenging anywhere
What made you laugh hardest this year?,10,free,solo funny casual anywhere
What are you looking forward to?,5,free,solo casual anywhere
What was good about today?,5,free,solo mindful casual anywhere
"What decision are you putting off, and what is it costing?",30,free,solo mindful challenging anywhere
What is your favourite hour of the day?,5,free,solo mindful casual anywhere
What would you do more of if it were not embarrassing?,15,free,solo funny engaging anywhere
What lie do you tell most often?,30,free,solo mindful challenging anywhere
What would you like to be doing less by this time next year?,15,free,solo mindful engaging anywhere
"If your energy were a budget, what is overspending it?",20,free,solo mindful engaging anywhere
What have you been meaning to thank someone for?,10,free,solo kindness casual anywhere
What would your home say about you to a stranger?,15,free,solo funny engaging anywhere
What is your relationship with your phone doing to you?,20,free,solo mindful challenging anywhere
"When were you last bored, really bored?",10,free,solo mindful casual anywhere
What is one thing you know you will regret not doing?,30,free,solo mindful challenging anywhere
What season of your life is this?,20,free,solo mindful engaging anywhere
What are you holding onto that you should put down?,30,free,solo mindful challenging anywhere
What would you try if nobody would ever know the result?,15,free,solo adventurous engaging anywhere
What question do you hope nobody asks you?,30,free,solo mindful challenging anywhere
"What are you currently getting wrong, probably?",20,free,solo mindful challenging anywhere
What did this year teach you that last year could not?,20,free,solo mindful engaging anywhere
Who are you when things go wrong?,20,free,solo mindful challenging anywhere
What is the most useful thing anyone ever told you?,10,free,solo casual anywhere
What do you want more of in your life that money cannot buy?,20,free,solo mindful engaging anywhere
