title,minutes,cost,tags
What did you first notice about me?,10,free,partner romantic casual anywhere
When did you know this was serious?,15,free,partner romantic engaging anywhere
What almost kept us from happening?,15,free,partner nostalgic engaging anywhere
Which of our early dates would you rerun tonight?,10,free,partner romantic nostalgic casual anywhere
What did you think I was like before you knew me?,10,free,partner funny casual anywhere
What do you remember about our first kiss that I might not?,10,free,partner romantic nostalgic casual anywhere
What was your first impression of my family?,15,free,partner funny engaging anywhere
Which photo of us do you love most?,10,free,partner nostalgic casual anywhere
"What song is ours, in your head?",5,free,partner romantic casual anywhere
What were you nervous about at the start of us?,15,free,partner nostalgic engaging anywhere
What do I do that makes you feel most loved?,15,free,partner romantic engaging anywhere
What could I do more of this month?,15,free,partner engaging anywhere
When do you feel closest to me?,15,free,partner romantic engaging anywhere
What do you wish we did more often?,10,free,partner casual anywhere
What little thing about our life together do you love?,10,free,partner mindful casual anywhere
What is your favourite ordinary moment of our week?,10,free,partner mindful casual anywhere
What do you brag about me when I am not there?,10,free,partner funny casual anywhere
What have you learned about love from being with me?,20,free,partner romantic engaging anywhere
What do we do better than any couple you know?,10,free,partner funny casual anywhere
Where do you feel most at home with me?,10,free,partner romantic casual anywhere
What conversation have we been putting off?,30,free,partner challenging anywhere
What is something you have wanted to ask me but have not?,20,free,partner engaging anywhere
What do you need from me when you have had a terrible day?,15,free,partner kindness engaging anywhere
How do you like to be comforted?,15,free,partner kindness engaging anywhere
What does your ideal Saturday with me look like?,10,free,partner casual anywhere
What should we stop doing?,20,free,partner engaging anywhere
What is one thing I could take off your plate?,10,free,partner kindness casual anywhere
What do you miss about me when we are apart?,10,free,partner romantic casual anywhere
What is the best gift I ever gave you?,10,free,partner nostalgic casual anywhere
What would you like me to understand about you better?,30,free,partner engaging anywhere
What are you afraid to tell me?,45,free,partner challenging anywhere
What part of yourself do you hide from me?,45,free,partner challenging anywhere
What do you think we will fight about when we are old?,15,free,partner funny engaging anywhere
What has been the hardest part of loving me?,45,free,partner challenging anywhere
What did our worst argument teach you?,30,free,partner challenging anywhere
What do you forgive me for that I never apologised for?,30,free,partner challenging anywhere
What are you carrying right now that I do not know about?,30,free,partner mindful challenging anywhere
When have I hurt you without noticing?,45,free,partner challenging anywhere
What would you want us to do differently with money?,30,free,partner engaging anywhere
"What does commitment mean to you, exactly?",30,free,partner challenging anywhere
Where do you want to wake up when we are seventy?,15,free,partner romantic engaging anywhere
What adventure should we have while we still can?,15,free,partner adventurous engaging anywhere
What would our perfect year look like?,20,free,partner adventurous engaging anywhere
What tradition should we start this year?,15,free,partner engaging anywhere
What do you hope never changes about us?,15,free,partner romantic engaging anywhere
What kind of old couple do you want us to be?,15,free,partner romantic engaging anywhere
What is on your list for us that you have never said out loud?,20,free,partner adventurous engaging anywhere
What home do you dream about for us?,15,free,partner engaging anywhere
What should we learn together?,10,free,partner learn casual anywhere
What trip should we stop talking about and book?,10,free,partner adventurous casual anywhere
What was your most embarrassing moment in front of me?,10,free,partner funny casual anywhere
Which of my habits will you be telling stories about forever?,10,free,partner funny casual anywhere
What did you get wrong about me in the best way?,10,free,partner funny casual anywhere
"If we swapped lives for a day, what would break first?",10,free,partner funny casual anywhere
What would the sitcom about us be called?,10,free,partner funny casual anywhere
Which of us would survive longer in the wilderness?,10,free,partner funny casual anywhere
What is the funniest thing we have been through together?,15,free,partner funny nostalgic casual anywhere
What do I do when I think nobody is watching?,10,free,partner funny casual anywhere
What would you put in a museum about our relationship?,15,free,partner funny nostalgic engaging anywhere
Which of my outfits would you quietly retire?,10,free,partner funny casual anywhere
What are you proudest of this year?,15,free,partner engaging anywhere
What do you daydream about lately?,15,free,partner mindful engaging anywhere
What is something you want to get better at?,10,free,partner casual anywhere
What did you love as a child that I should know about?,15,free,partner nostalgic engaging anywhere
Who from your past made you who you are?,20,free,partner nostalgic engaging anywhere
What does your family do that you want us to keep?,20,free,partner engaging anywhere
What does your family do that you want to leave behind?,30,free,partner challenging anywhere
What friendship do you want to invest in this year?,15,free,partner engaging anywhere
What are you worried about at the moment?,20,free,partner mindful engaging anywhere
What would you do with a month completely off?,10,free,partner casual anywhere
When did you last feel swept up by me?,15,free,partner romantic engaging anywhere
What do you find most attractive about me now?,10,free,partner romantic casual anywhere
What was the most romantic thing anyone ever did for you?,15,free,partner romantic engaging anywhere
How has your idea of romance changed?,20,free,partner romantic engaging anywhere
What should date night look like next time?,10,free,partner romantic casual anywhere
What makes you feel desired?,20,free,partner romantic engaging anywhere
What is a small way I could surprise you?,10,free,partner romantic casual anywhere
What do you wish I would notice more?,20,free,partner engaging anywhere
What compliment from me do you still think about?,10,free,partner romantic casual anywhere
What first made you trust me?,15,free,partner romantic engaging anywhere
What is the kindest thing I have done for you?,15,free,partner kindness engaging anywhere
What have we survived that you were not sure we would?,30,free,partner challenging anywhere
What do you want to thank me for?,10,free,partner kindness casual anywhere
What did you learn from the relationships before us?,30,free,partner challenging anywhere
How do you most naturally show love?,15,free,partner romantic engaging anywhere
What is something we believe that most couples do not?,15,free,partner engaging anywhere
When are we at our best?,15,free,partner engaging anywhere
What do we owe each other?,30,free,partner challenging anywhere
What should we do just the two of us this month?,10,free,partner casual anywhere
What is one question you want me to answer honestly?,30,free,partner challenging anywhere
