title,minutes,cost,tags
What is the best decision you ever made?,15,free,friends engaging anywhere
What is your most controversial food opinion?,10,free,friends funny casual anywhere
What did you almost do that would have changed everything?,15,free,friends engaging anywhere
What is the strangest job you ever had?,10,free,friends funny casual anywhere
Who was your first hero?,10,free,friends nostalgic casual anywhere
What is the best piece of advice you ever ignored?,10,free,friends funny engaging anywhere
What is a skill you have that nobody would guess?,10,free,friends casual anywhere
What were you like at fifteen?,15,free,friends nostalgic engaging anywhere
What is the most trouble you got into at school?,15,free,friends funny nostalgic casual anywhere
What do you miss about being a kid?,15,free,friends nostalgic engaging anywhere
What is the pettiest hill you will die on?,10,free,friends funny casual anywhere
What is your most repeated story?,10,free,friends funny casual anywhere
What would you do with lottery money after the first month?,15,free,friends engaging anywhere
What is the best live event you have ever been to?,10,free,friends nostalgic casual anywhere
What is the most effort you ever put into something pointless?,10,free,friends funny casual anywhere
What was your closest call?,15,free,friends adventurous engaging anywhere
What is the nicest thing a stranger ever did for you?,10,free,friends kindness casual anywhere
What is your unpopular opinion about where we live?,10,free,friends funny casual anywhere
"Which fictional character are you, honestly?",10,free,friends funny casual anywhere
What is the worst fashion phase you fully committed to?,10,free,friends funny nostalgic casual anywhere
What is the last thing you changed your mind about?,10,free,friends engaging anywhere
What do you wish you had learned earlier?,15,free,friends engaging anywhere
What is your theory about something you cannot prove?,15,free,friends funny engaging anywhere
"If you had to start a rumour about yourself, what would it be?",10,free,friends funny casual anywhere
What is the best purchase you ever made under twenty dollars?,10,free,friends casual anywhere
What app should not exist?,10,free,friends funny casual anywhere
What is your most irrational fear?,10,free,friends funny casual anywhere
What is the weirdest compliment you ever received?,10,free,friends funny casual anywhere
What habit did you steal from someone else?,10,free,friends casual anywhere
Who is the most famous person you have met?,10,free,friends casual anywhere
"What is your karaoke song, and why that one?",10,free,friends funny casual anywhere
What would your teenage self think of your life now?,15,free,friends nostalgic engaging anywhere
When did you laugh the hardest in your whole life?,15,free,friends funny nostalgic casual anywhere
What tiny thing improves your day every time?,10,free,friends mindful casual anywhere
What is the best thing you ever ate at somebody else's house?,10,free,friends eat casual anywhere
What is a place you will never go back to?,10,free,friends engaging anywhere
What is the most useful thing in your bag right now?,5,free,friends funny casual anywhere
What do people always get wrong about you?,15,free,friends engaging anywhere
What is your longest-running inside joke?,10,free,friends funny nostalgic casual anywhere
What could you teach a class on with zero preparation?,10,free,friends casual anywhere
What is the best birthday you ever had?,10,free,friends nostalgic casual anywhere
Which year of your life would you relive exactly as it was?,15,free,friends nostalgic engaging anywhere
What object would you save first in a fire?,10,free,friends engaging anywhere
What is the boldest thing you have ever done?,15,free,friends adventurous engaging anywhere
What was your best Halloween costume ever?,10,free,friends spooky funny casual anywhere
What scares you that scares nobody else?,10,free,friends spooky casual anywhere
What is the creepiest place you have ever been?,15,free,friends spooky engaging anywhere
"Do you believe in ghosts, and has anything ever made you wonder?",15,free,friends spooky engaging anywhere
What is the best scary story you know firsthand?,15,free,friends spooky engaging anywhere
What recurring dream do you have?,10,free,friends spooky casual anywhere
Who from school do you still wonder about?,10,free,friends nostalgic casual anywhere
What is the kindest thing a friend ever did for you?,15,free,friends kindness engaging anywhere
What friendship rule do you live by?,10,free,friends engaging anywhere
"How did we actually become friends, from your side?",15,free,friends nostalgic engaging anywhere
What do you remember about the day we met?,10,free,friends nostalgic casual anywhere
What should we do together that we have never done?,10,free,friends adventurous casual anywhere
What do you appreciate about this friendship that you never say?,20,free,friends kindness challenging anywhere
Which of our shared memories do you retell most?,10,free,friends nostalgic casual anywhere
What do I do that you would never tell me is annoying?,10,free,friends funny casual anywhere
"If our friends were a heist crew, what would everyone's job be?",15,free,friends funny casual anywhere
What is your favourite story about someone at this table?,15,free,friends funny casual anywhere
What is the best trip you ever took with friends?,15,free,friends nostalgic casual anywhere
What trip should we actually plan for real?,15,free,friends adventurous engaging anywhere
Who in your life deserves more credit?,10,free,friends kindness engaging anywhere
What is the most spontaneous thing you have ever done?,10,free,friends adventurous casual anywhere
What would you do with a year off and full pay?,15,free,friends engaging anywhere
What food means home to you?,10,free,friends eat nostalgic casual anywhere
What talent did you give up on too early?,15,free,friends nostalgic engaging anywhere
What is the best class you ever took?,10,free,friends learn casual anywhere
What is the worst advice that everyone keeps giving?,10,free,friends funny engaging anywhere
What trend did you refuse to join?,10,free,friends funny casual anywhere
What do you do to cheer yourself up that always works?,10,free,friends mindful casual anywhere
What is your proudest repair or fix?,10,free,friends repair casual anywhere
What small luxury is always worth it?,10,free,friends casual anywhere
What is the best free thing where you live?,10,free,friends casual anywhere
What movie do you defend against all criticism?,10,free,friends watch funny casual anywhere
What book actually changed something you did?,15,free,friends read engaging anywhere
What song do you play when nobody else is in the car?,10,free,friends listen funny casual anywhere
What show did you love that nobody else remembers?,10,free,friends watch nostalgic casual anywhere
What game were you unbeatable at?,10,free,friends play nostalgic casual anywhere
What did your childhood bedroom look like?,15,free,friends nostalgic engaging anywhere
What did your family argue about at dinner?,15,free,friends nostalgic engaging anywhere
What was your first concert?,10,free,friends listen nostalgic casual anywhere
What did you spend your first paycheck on?,10,free,friends nostalgic casual anywhere
"What is the longest you have gone without sleep, and why?",10,free,friends funny casual anywhere
What rule did you break most as a teenager?,15,free,friends funny nostalgic casual anywhere
What is your most niche interest?,10,free,friends funny casual anywhere
What hobby would you take up if you had endless time?,10,free,friends casual anywhere
What is the most beautiful place you have ever stood?,15,free,friends travel engaging anywhere
What does your favourite season smell like?,10,free,friends mindful casual anywhere
What is the best thing about your life right now?,15,free,friends mindful engaging anywhere
What is something hard you are carrying that we could help with?,30,free,friends kindness challenging anywhere
What do you want the next five years to hold?,20,free,friends engaging anywhere
What worries you about getting older?,20,free,friends mindful challenging anywhere
What excites you about getting older?,15,free,friends mindful engaging anywhere
"If you could ask your future self one question, what would it be?",15,free,friends mindful engaging anywhere
What do you want us all to still be doing at seventy?,15,free,friends nostalgic engaging anywhere
What would you want said about you at your retirement party?,15,free,friends engaging anywhere
What is one thing you are grateful for this week?,10,free,friends mindful casual anywhere
What made today good?,5,free,friends mindful casual anywhere
