title,minutes,cost,tags
What are you avoiding right now?,10,free,solo mindful engaging anywhere question
What would make today feel well spent?,5,free,solo mindful casual anywhere question
What are you doing out of habit that you would never choose fresh?,15,free,solo mindful engaging anywhere question
What do you need less of?,10,free,solo mindful engaging anywhere question
What is taking more energy than it gives back?,15,free,solo mindful engaging anywhere question
When did you last feel completely unhurried?,10,free,solo mindful casual anywhere question
What would you stop doing if nobody would notice?,10,free,solo mindful engaging anywhere question
What are you waiting for permission to do?,15,free,solo mindful engaging anywhere question
Which of your routines actually serves you?,10,free,solo mindful engaging anywhere question
What does rest look like for you when it works?,10,free,solo mindful casual anywhere question
What is the smallest change that would make your mornings better?,10,free,solo mindful casual anywhere question
What do you keep saying you have no time for?,10,free,solo mindful engaging anywhere question
What would you do with one extra hour a day?,10,free,solo casual anywhere question
Where does your money quietly go?,15,free,solo engaging anywhere question
What do you own that you would buy again today?,10,free,solo casual anywhere question
What could you clear out of your home without missing it?,10,free,solo casual anywhere question
What is the one thing on your list you keep moving to tomorrow?,10,free,solo mindful engaging anywhere question
What would this week look like if it were easy?,15,free,solo mindful engaging anywhere question
What are you tolerating that you could fix in an hour?,10,free,solo engaging anywhere question
What is your body trying to tell you lately?,15,free,solo mindful engaging anywhere question
What are you pretending not to know?,30,free,solo mindful challenging anywhere question
What would you attempt if you knew it would take ten years?,20,free,solo adventurous engaging anywhere question
What compliment do you have trouble accepting?,15,free,solo mindful engaging anywhere question
What are you better at than you give yourself credit for?,15,free,solo mindful engaging anywhere question
Which of your beliefs would most surprise you from ten years ago?,20,free,solo engaging anywhere question
What opinion have you changed your mind about lately?,15,free,solo engaging anywhere question
What do you want to be true of you at eighty?,30,free,solo mindful challenging anywhere question
"What are you practicing, whether you mean to or not?",20,free,solo mindful engaging anywhere question
What would you do differently if you respected your own time?,20,free,solo mindful engaging anywhere question
Whose approval are you still working for?,30,free,solo mindful challenging anywhere question
What part of your life is on autopilot?,15,free,solo mindful engaging anywhere question
What would you tell a friend who was in your exact situation?,20,free,solo mindful engaging anywhere question
What is the kindest true thing you can say about yourself?,15,free,solo mindful engaging anywhere question
What are you afraid people will find out about you?,30,free,solo mindful challenging anywhere question
When are you most yourself?,15,free,solo mindful engaging anywhere question
What role do you play in groups that you never chose?,20,free,solo mindful engaging anywhere question
What would you start if failure cost nothing?,15,free,solo adventurous engaging anywhere question
How much would actually be enough?,30,free,solo mindful challenging anywhere question
What is the difference between the person you are and the person you present?,30,free,solo mindful challenging anywhere question
