title,minutes,cost,tags
A ladder made of pauses,10,free,create mindful casual anywhere
A key that only opens weather,10,free,create mindful casual anywhere
The museum of unsent letters,10,free,create nostalgic casual anywhere
A compass that points at whoever misses you,10,free,create romantic casual anywhere
A staircase folded into a coin,10,free,create mindful casual anywhere
An hourglass filled with static,10,free,create spooky casual anywhere
A lighthouse for things lost on land,10,free,create nostalgic casual anywhere
A bell with an echo but no ring,10,free,create spooky casual anywhere
A library where the books shelve the people,10,free,create funny casual anywhere
A mirror that runs a few seconds late,10,free,create spooky casual anywhere
A bridge woven from held breaths,10,free,create mindful casual anywhere
An umbrella for standing under decisions,10,free,create funny casual anywhere
A candle that burns darkness instead of wax,10,free,create spooky casual anywhere
The dictionary of words that almost exist,10,free,create funny casual anywhere
A clock whose hands applaud at midnight,10,free,create funny casual anywhere
A door hinged on a rumour,10,free,create spooky casual anywhere
A river folded up like a letter,10,free,create mindful casual anywhere
A telescope that only sees indoors,10,free,create funny casual anywhere
A pocket watch that keeps somebody else's time,10,free,create spooky casual anywhere
The anchor of a flying ship,10,free,create adventurous casual anywhere
A piano with one key for every year of a life,10,free,create nostalgic casual anywhere
A garden of glass vegetables,10,free,create mindful casual anywhere
A lantern that attracts silences,10,free,create mindful casual anywhere
The skeleton of a wave,10,free,create spooky casual anywhere
A coat with a climate in each pocket,10,free,create adventurous casual anywhere
A chandelier of frozen lightning,10,free,create adventurous casual anywhere
A map of everywhere you have ever stood,10,free,create nostalgic casual anywhere
A vending machine for second chances,10,free,create funny casual anywhere
A snow globe containing this exact moment,10,free,create mindful casual anywhere
The last matchstick of an extinct fire,10,free,create spooky casual anywhere
A kite string with no kite and no slack,10,free,create spooky casual anywhere
A well that returns whatever you shout down it years later,10,free,create nostalgic casual anywhere
An orchard that grows musical instruments,10,free,create funny casual anywhere
A pair of scissors that cuts silence into pieces,10,free,create mindful casual anywhere
The wardrobe of discarded personalities,10,free,create funny casual anywhere
A drawbridge between two beds,10,free,create romantic casual anywhere
A stone that remembers being a mountain,10,free,create nostalgic casual anywhere
The negative of a rainbow,10,free,create mindful casual anywhere
A birdcage built to keep a song in,10,free,create nostalgic casual anywhere
An elevator that travels between moods,10,free,create funny casual anywhere
A carousel of planets at child height,10,free,create adventurous casual anywhere
A pincushion stuck with tiny lightning bolts,10,free,create funny casual anywhere
The blueprint of a yawn,10,free,create funny casual anywhere
A bottle of concentrated Tuesday,10,free,create funny casual anywhere
A spiderweb strung between two decades,10,free,create nostalgic casual anywhere
The sail of a ship that runs on rumours,10,free,create adventurous casual anywhere
A jar of fireflies that blink in morse,10,free,create adventurous casual anywhere
A staircase that ages you one year per step,10,free,create spooky casual anywhere
The recipe book of impossible soups,10,free,create funny casual anywhere
An anvil made of feathers that still weighs a ton,10,free,create funny casual anywhere
A seashell that plays traffic from the 1970s,10,free,create nostalgic casual anywhere
The fingerprint of a ghost,10,free,create spooky casual anywhere
