title,minutes,cost,tags
Write about a door you never opened,25,free,create writing nostalgic engaging anywhere
Write down the conversation you keep rehearsing in your head,30,free,create writing engaging anywhere
Describe your own morning as a stranger watching it,25,free,create writing mindful engaging anywhere
Write about the thing you almost bought,15,free,create writing funny casual anywhere
Write a postcard from a place you have never been,20,free,create writing engaging anywhere
Write about what your hands were doing ten years ago today,25,free,create writing nostalgic engaging anywhere
Write the instructions your future self should follow on a bad day,25,free,create writing mindful engaging home
Write about a smell that takes you somewhere else,15,free,create writing nostalgic casual anywhere
Write the villain's side of a story everyone knows,30,free,create writing funny engaging anywhere
Write a scene set entirely in a queue,25,free,create writing funny engaging anywhere
Write about something you believed as a child that turned out to be wrong,25,free,create writing nostalgic engaging anywhere
Write what the view from your window will look like in fifty years,25,free,create writing engaging home
Write a eulogy for an object you threw away,20,free,create writing funny engaging home
Write about a sound you hear every day and never mention,15,free,create writing mindful casual anywhere
Write the first paragraph of a book you would want to read,30,free,create writing challenging anywhere
"Write about a stranger's shopping basket, item by item",15,free,create writing funny casual indoors
"Write tomorrow down as you hope it goes, then check back",15,free,create writing mindful casual anywhere
Write the apology you never got,20,free,create writing engaging anywhere
